adm3_en,case_total,pop_count_total,pop_density,city_area
Iloilo,3630,410631.900048476,5653.703811457925,72.6306
Cagayan de Oro,1016,632116.2655209762,1247.7251276037546,506.615
Davao,663,1509857.6746356671,644.220371714211,2343.6975
Dagupan,499,175281.38771409256,4053.24554717902,43.2447
Navotas,420,281310.5419546274,26691.070919363097,10.5395
Zamboanga,342,787158.5218873024,526.0724834604925,1496.2929
Muntinlupa,203,462836.06896033656,11811.773311258246,39.1843
Mandaluyong,145,359139.21025202825,31732.52606554585,11.3177
Tacloban,111,191603.4293424166,1807.2709220634647,106.0181
Palayan,61,44017.461306058445,335.3601467232574,131.2543
Legazpi,46,185180.24281545787,1174.0286464101312,157.7306
Mandaue,19,327493.5428560697,10529.52643063139,31.1024
